user_id,sex,age,age_category,dependents_c,last_month_salary_c
194,M,52,50-59,0,7580
195,M,52,50-59,1,7580
196,F,53,50-59,1,5822
197,M,41,40-49,0,8350
198,F,42,40-49,2,7000
199,F,53,50-59,2,6300
200,M,40,40-49,2,3600
201,F,47,40-49,2,5200
202,M,44,40-49,4,8500
203,M,35,30-39,3,10000
204,F,34,30-39,1,4810
205,M,80,80-89,0,5067
206,F,61,60-69,0,7492
207,M,54,50-59,0,7580
208,M,47,40-49,1,7489
209,M,67,60-69,0,7492
210,F,64,60-69,0,4272
211,M,71,70-79,0,5116
212,M,56,50-59,3,7000
213,F,66,60-69,0,887
214,M,76,70-79,0,5598
215,M,50,50-59,0,7580
216,F,29,20-29,0,3975
217,M,48,40-49,2,6000
218,F,25,20-29,0,2905
219,F,34,30-39,0,1800
220,M,40,40-49,0,3750
221,F,68,60-69,0,3500
222,M,51,50-59,0,12500
223,M,23,20-29,0,1200
224,F,54,50-59,1,17433
225,M,45,40-49,3,17000
226,F,68,60-69,2,10772
227,M,56,50-59,0,12500
228,M,47,40-49,2,6500
229,M,57,50-59,1,8183
230,F,63,60-69,1,7427
231,M,77,70-79,0,1772
232,M,46,40-49,0,5000
233,F,53,50-59,0,2400
234,M,50,50-59,1,15000
235,M,38,30-39,2,10666
236,F,54,50-59,0,2474
237,M,54,50-59,1,4884
238,F,41,40-49,0,7489
239,F,57,50-59,0,9166
240,M,37,30-39,0,8584
241,F,41,40-49,2,4828
242,M,51,50-59,3,10000
243,M,42,40-49,0,7489
244,F,60,60-69,3,6284
245,M,78,70-79,0,12855
246,F,47,40-49,1,5533
247,M,51,50-59,0,2500
248,M,59,50-59,0,12451
249,M,75,70-79,0,5598
250,F,63,60-69,0,7492
251,M,48,40-49,0,10500
252,M,23,20-29,0,800
253,F,35,30-39,2,3500
254,M,41,40-49,2,12500
255,M,77,70-79,0,5598
256,F,70,70-79,0,3139
257,M,66,60-69,1,3710
258,F,46,40-49,2,6000
259,F,35,30-39,2,3333
260,M,59,50-59,1,6150
261,F,74,70-79,0,5598
262,M,27,20-29,0,1500
263,M,41,40-49,1,8000
264,F,40,40-49,0,7489
265,M,61,60-69,1,12814
266,F,43,40-49,1,7489
267,M,45,40-49,2,2145
268,M,88,80-89,0,0
269,M,38,30-39,1,8000
270,F,67,60-69,0,3855
271,M,77,70-79,0,4000
272,M,35,30-39,0,3200
273,F,24,20-29,0,2000
274,M,53,50-59,1,4440
275,M,60,60-69,2,10416
276,F,42,40-49,1,7489
277,M,47,40-49,3,7489
278,F,56,50-59,0,10000
279,F,64,60-69,0,981
280,M,21,20-29,0,4000
281,F,64,60-69,0,5352
282,M,41,40-49,1,11600
283,M,59,50-59,0,2539
284,F,88,80-89,0,1316
285,M,51,50-59,3,6500
286,F,35,30-39,0,6473
287,M,60,60-69,0,7492
288,M,49,40-49,2,7489
289,M,76,70-79,0,2500
290,F,65,60-69,0,5000
291,M,61,60-69,0,4500
292,M,83,80-89,0,1972
293,F,63,60-69,1,13740
294,M,61,60-69,0,10500
295,M,27,20-29,0,1160
296,F,24,20-29,0,800
297,M,38,30-39,2,3000
298,F,63,60-69,0,7492
299,F,46,40-49,0,3001
300,M,39,30-39,5,7700
301,F,62,60-69,0,9166
302,M,38,30-39,3,44574
303,M,44,40-49,1,9283
304,F,64,60-69,0,3139
305,M,27,20-29,0,2500
306,F,48,40-49,3,10833
307,M,31,30-39,1,4150
308,M,47,40-49,0,5502
309,M,81,80-89,0,5067
310,F,66,60-69,0,7500
311,M,74,70-79,0,10119
312,M,69,60-69,0,1630
313,F,44,40-49,0,4166
314,M,62,60-69,0,23000
315,M,48,40-49,2,6110
316,F,50,50-59,1,125
317,M,75,70-79,0,4240
318,F,49,40-49,0,1702
319,F,45,40-49,2,1
320,M,58,50-59,0,5000
321,F,52,50-59,2,8000
322,M,50,50-59,0,2800
323,M,34,30-39,2,6250
324,F,36,30-39,0,5499
325,M,55,50-59,3,4100
326,F,57,50-59,1,25473
327,M,48,40-49,0,2924
328,M,70,70-79,0,4237
329,M,33,30-39,0,11372
330,F,47,40-49,0,9000
331,M,27,20-29,0,1280
332,M,32,30-39,0,5499
333,F,48,40-49,2,9023
334,M,39,30-39,2,6400
335,M,62,60-69,1,5500
336,F,48,40-49,0,5500
337,M,23,20-29,0,820
338,F,59,50-59,0,6000
339,F,44,40-49,0,2666
340,M,62,60-69,0,4000
341,F,67,60-69,0,5000
342,M,65,60-69,0,3000
343,M,50,50-59,0,3300
344,F,66,60-69,0,7492
345,M,45,40-49,0,11900
346,F,59,50-59,3,45000
347,M,67,60-69,0,4000
348,M,41,40-49,3,3916
349,M,52,50-59,2,8916
350,F,53,50-59,2,7500
351,M,64,60-69,0,7492
352,M,62,60-69,0,7492
353,F,59,50-59,0,4200
354,M,43,40-49,1,8500
355,M,64,60-69,0,7492
356,F,51,50-59,0,7580
357,M,67,60-69,1,11300
358,F,41,40-49,2,7489
359,F,63,60-69,1,3500
360,M,60,60-69,0,2000
361,F,48,40-49,3,5800
362,M,60,60-69,1,7800
363,M,61,60-69,0,7492
364,F,53,50-59,0,7116
365,M,60,60-69,0,4500
366,F,29,20-29,0,3750
367,M,63,60-69,5,7492
368,M,31,30-39,2,9165
369,M,47,40-49,2,8916
370,F,49,40-49,5,7800
371,M,52,50-59,3,13587
372,M,53,50-59,0,1400
373,F,52,50-59,2,8902
374,M,47,40-49,1,6224
375,M,41,40-49,2,8328
376,F,55,50-59,2,5000
377,M,57,50-59,1,7580
378,F,40,40-49,0,2700
379,F,52,50-59,3,2540
380,M,34,30-39,0,4200
381,F,31,30-39,0,5800
382,M,68,60-69,0,12000
383,M,44,40-49,0,10332
384,F,70,70-79,0,2083
385,M,54,50-59,0,851
386,F,53,50-59,0,2337
387,M,54,50-59,0,15000
388,M,80,80-89,0,4000
389,M,57,50-59,0,7580
390,F,38,30-39,2,3433
391,M,43,40-49,3,5000
392,M,39,30-39,2,3500
393,F,40,40-49,0,7489
394,M,52,50-59,0,6600
395,M,46,40-49,2,3340
396,F,43,40-49,2,5000
397,M,43,40-49,0,9533
398,F,23,20-29,0,2557
399,F,39,30-39,3,10054
400,M,51,50-59,0,7580
401,F,53,50-59,3,13000
402,M,25,20-29,0,2905
403,M,73,70-79,0,6292
404,F,56,50-59,1,6700
405,M,69,60-69,0,7492
406,F,34,30-39,1,5499
407,M,64,60-69,2,9750
408,M,31,30-39,0,8333
409,M,61,60-69,0,7492
410,F,47,40-49,0,7489
411,M,34,30-39,0,6334
412,M,66,60-69,1,8600
413,F,68,60-69,0,7492
414,M,48,40-49,0,3500
415,M,34,30-39,0,3000
416,F,28,20-29,0,1785
417,M,58,50-59,0,7580
418,F,58,50-59,0,23250
419,F,37,30-39,0,6506
420,M,60,60-69,0,7492
421,F,45,40-49,2,5000
422,M,78,70-79,0,3500
423,M,64,60-69,0,6000
424,F,63,60-69,2,11323
425,M,45,40-49,0,3516
426,F,40,40-49,3,16250
427,M,40,40-49,0,7489
428,M,57,50-59,3,6000
429,M,34,30-39,0,5499
430,F,31,30-39,0,5499
431,M,43,40-49,2,6583
432,M,43,40-49,0,5400
433,F,61,60-69,0,3750
434,M,46,40-49,0,13333
435,M,87,80-89,0,5067
436,F,39,30-39,0,6083
437,M,36,30-39,2,5499
438,F,61,60-69,0,2301
439,F,58,50-59,2,6750
440,M,31,30-39,0,5350
441,F,68,60-69,0,6459
442,M,75,70-79,0,5598
443,M,45,40-49,2,11833
444,F,54,50-59,0,7580
445,M,36,30-39,0,5499
446,F,76,70-79,0,10487
447,M,35,30-39,2,6666
448,M,54,50-59,1,7583
449,M,29,20-29,0,2905
450,F,70,70-79,0,25000
451,M,68,60-69,1,23200
452,M,47,40-49,0,7914
453,F,67,60-69,0,7700
454,M,33,30-39,0,10784
455,M,27,20-29,0,3400
456,F,32,30-39,2,5800
457,M,68,60-69,0,4200
458,F,48,40-49,1,11000
459,F,64,60-69,0,3250
460,M,50,50-59,0,8654
461,F,55,50-59,0,1750
462,M,59,50-59,1,4050
463,M,53,50-59,0,7005
464,F,44,40-49,2,1959
465,M,35,30-39,0,5605
466,F,50,50-59,0,7580
467,M,76,70-79,1,8333
468,M,46,40-49,0,8200
469,M,52,50-59,3,10976
470,F,39,30-39,1,4333
471,M,76,70-79,0,8400
472,M,73,70-79,0,3653
473,F,37,30-39,2,2000
474,M,33,30-39,1,2300
475,M,71,70-79,0,5598
476,F,44,40-49,1,15016
477,M,47,40-49,2,7917
478,F,41,40-49,1,2200
479,F,61,60-69,0,5427
480,M,50,50-59,0,7580
481,F,43,40-49,0,7933
482,M,46,40-49,2,10000
483,M,69,60-69,0,3400
484,F,78,70-79,0,8579
485,M,74,70-79,0,15916
486,F,62,60-69,0,9500
487,M,89,80-89,0,4755
488,M,90,90+,1,7000
489,M,71,70-79,0,5598
490,F,77,70-79,0,4920
491,M,86,80-89,0,4583
492,M,36,30-39,2,7500
493,F,82,80-89,0,5067
494,M,33,30-39,2,10583
495,M,90,90+,1,11000
496,F,73,70-79,0,4166
497,M,68,60-69,0,800
498,F,65,60-69,1,4450
499,F,47,40-49,2,6500
500,M,70,70-79,0,11348
501,F,31,30-39,0,3333
502,M,64,60-69,1,7494
503,M,39,30-39,3,13999
504,F,25,20-29,3,4200
505,M,58,50-59,1,17109
506,F,37,30-39,4,11666
507,M,55,50-59,0,7580
508,M,76,70-79,0,5977
509,M,57,50-59,0,7580
510,F,67,60-69,0,7492
511,M,55,50-59,0,5998
512,M,60,60-69,0,16425
513,F,25,20-29,0,2250
514,M,32,30-39,3,6584
515,M,62,60-69,2,9583
516,F,30,30-39,0,3183
517,M,73,70-79,0,5598
518,F,39,30-39,2,2656
519,F,25,20-29,0,2100
520,M,27,20-29,1,4033
521,F,41,40-49,1,0
522,M,62,60-69,0,4800
523,M,49,40-49,0,7489
524,F,33,30-39,3,7250
525,M,53,50-59,5,5205
526,F,44,40-49,1,6920
527,M,85,80-89,0,5067
528,M,38,30-39,3,1800
529,M,58,50-59,0,7580
530,F,48,40-49,0,3826
531,M,31,30-39,0,500
532,M,42,40-49,0,9916
533,F,30,30-39,0,5346
534,M,39,30-39,1,5499
535,M,57,50-59,3,16000
536,F,59,50-59,0,7580
537,M,50,50-59,2,12000
538,F,81,80-89,0,5067
539,F,44,40-49,1,7291
540,M,53,50-59,0,7580
541,F,56,50-59,0,3734
542,M,37,30-39,4,7535
543,M,82,80-89,0,9949
544,F,50,50-59,3,5908
545,M,50,50-59,3,7580
546,F,55,50-59,1,7580
547,M,24,20-29,0,2905
548,M,82,80-89,0,5067
549,M,62,60-69,0,3400
550,F,73,70-79,0,7500
551,M,38,30-39,2,3500
552,M,56,50-59,2,5000
553,F,55,50-59,0,3500
554,M,44,40-49,0,7489
555,M,59,50-59,0,3864
556,F,54,50-59,0,6000
557,M,42,40-49,0,10834
558,F,41,40-49,0,3333
559,F,41,40-49,2,4000
560,M,63,60-69,0,8475
561,F,70,70-79,1,5416
562,M,77,70-79,0,3280
563,M,50,50-59,2,5917
564,F,51,50-59,2,12750
565,M,57,50-59,0,5000
566,F,47,40-49,0,7489
567,M,73,70-79,1,7917
568,M,78,70-79,0,500
569,M,77,70-79,0,8881
570,F,72,70-79,0,9992
571,M,31,30-39,1,4547
572,M,42,40-49,0,8533
573,F,36,30-39,2,6583
574,M,57,50-59,0,6500
575,M,82,80-89,0,5067
576,F,53,50-59,1,7580
577,M,40,40-49,2,6666
578,F,37,30-39,0,3076
579,F,39,30-39,2,9167
580,M,26,20-29,3,2905
581,F,47,40-49,0,5166
582,M,63,60-69,0,7600
583,M,66,60-69,0,7492
584,F,63,60-69,0,7492
585,M,74,70-79,0,8567
586,F,29,20-29,0,2905
587,M,39,30-39,3,5916
588,M,59,50-59,2,8000
589,M,46,40-49,1,4889
590,F,51,50-59,0,4474
591,M,39,30-39,3,4954
592,M,34,30-39,1,5333
593,F,65,60-69,0,7492
594,M,80,80-89,0,4640
595,M,45,40-49,2,1750
596,F,62,60-69,0,4384
597,M,52,50-59,1,9500
598,F,50,50-59,2,3417
599,F,49,40-49,0,5490
600,M,57,50-59,0,3500
601,F,43,40-49,3,9000
602,M,34,30-39,0,5499
603,M,47,40-49,5,19800
604,F,51,50-59,1,7335
605,M,66,60-69,0,5300
606,F,43,40-49,1,5500
607,M,43,40-49,0,9416
608,M,67,60-69,0,4583
609,M,41,40-49,0,8600
610,F,72,70-79,0,9166
611,M,81,80-89,0,2400
612,M,73,70-79,0,5598
613,F,43,40-49,2,5900
614,M,64,60-69,0,7492
615,M,47,40-49,0,7489
616,F,50,50-59,0,7500
617,M,34,30-39,0,5499
618,F,32,30-39,4,5008
619,F,42,40-49,0,4889
620,M,48,40-49,2,5833
621,F,79,70-79,0,5598
622,M,47,40-49,1,2750
623,M,54,50-59,2,11800
624,F,81,80-89,0,4400
625,M,55,50-59,1,4960
626,F,32,30-39,0,1727
627,M,57,50-59,1,6034
628,M,59,50-59,1,6967
629,M,34,30-39,2,7307
630,F,49,40-49,2,14334
631,M,48,40-49,0,4094
632,M,56,50-59,0,6000
633,F,77,70-79,0,5598
634,M,64,60-69,0,5000
635,M,34,30-39,0,8340
636,F,48,40-49,0,7489
637,M,60,60-69,0,7492
638,F,74,70-79,0,2013
639,F,30,30-39,2,2590
640,M,59,50-59,0,2300
641,F,36,30-39,1,4834
642,M,42,40-49,0,9072
643,M,56,50-59,0,4793
644,F,43,40-49,2,8500
645,M,41,40-49,0,4300
646,F,51,50-59,0,1
647,M,46,40-49,3,12000
648,M,42,40-49,2,14250
649,M,45,40-49,3,13750
650,F,45,40-49,1,6750
651,M,65,60-69,1,9200
652,M,69,60-69,0,3628
653,F,65,60-69,0,13000
654,M,47,40-49,3,7489
655,M,43,40-49,3,10595
656,F,31,30-39,0,5499
657,M,33,30-39,0,1700
658,F,58,50-59,0,12000
659,F,45,40-49,1,5200
660,M,30,30-39,0,5000
661,F,29,20-29,0,1000
662,M,67,60-69,0,9307
663,M,53,50-59,1,7816
664,F,51,50-59,1,6000
665,M,64,60-69,0,7470
666,F,63,60-69,0,3200
667,M,67,60-69,0,5140
668,M,40,40-49,0,4975
669,M,45,40-49,1,9832
670,F,67,60-69,1,4500
671,M,32,30-39,0,5499
672,M,58,50-59,0,3649
673,F,43,40-49,1,10000
674,M,27,20-29,1,3240
675,M,43,40-49,0,7489
676,F,63,60-69,0,5660
677,M,30,30-39,0,6000
678,F,72,70-79,1,11000
679,F,75,70-79,0,701
680,M,60,60-69,1,7492
681,F,42,40-49,0,7968
682,M,64,60-69,0,7940
683,M,41,40-49,1,1050
684,F,66,60-69,0,14000
685,M,60,60-69,1,1800
686,F,32,30-39,4,6000
687,M,55,50-59,1,4700
688,M,51,50-59,0,1875
689,M,35,30-39,0,5499
690,F,50,50-59,0,4750
691,M,30,30-39,0,5499
692,M,59,50-59,0,8000
693,F,40,40-49,1,18500
694,M,59,50-59,0,12250
695,M,50,50-59,0,5975
696,F,27,20-29,0,7072
697,M,53,50-59,1,2826
698,F,73,70-79,0,5598
699,F,60,60-69,0,5600
700,M,64,60-69,0,8750
701,F,37,30-39,0,5916
702,M,30,30-39,0,3442
703,M,48,40-49,3,7002
704,F,30,30-39,1,1280
705,M,52,50-59,2,1
706,F,67,60-69,0,7492
707,M,43,40-49,0,3916
708,M,56,50-59,3,9000
709,M,45,40-49,4,13100
710,F,56,50-59,2,19000
711,M,55,50-59,2,3000
712,M,44,40-49,2,8416
713,F,34,30-39,3,6000
714,M,34,30-39,0,7083
715,M,71,70-79,0,6000
716,F,56,50-59,0,4937
717,M,39,30-39,2,5298
718,F,79,70-79,0,6501
719,F,69,60-69,0,4000
720,M,30,30-39,0,5499
721,F,73,70-79,0,5598
722,M,29,20-29,0,0
723,M,72,70-79,0,9583
724,F,59,50-59,1,7580
725,M,39,30-39,1,0
726,F,55,50-59,1,7500
727,M,77,70-79,0,5598
728,M,58,50-59,2,7580
729,M,38,30-39,1,20000
730,F,60,60-69,0,7492
731,M,46,40-49,0,4250
732,M,62,60-69,0,7492
733,F,51,50-59,1,14000
734,M,52,50-59,3,20000
735,M,73,70-79,0,5415
736,F,82,80-89,0,2700
737,M,28,20-29,2,8350
738,F,35,30-39,0,8100
739,F,61,60-69,0,7959
740,M,47,40-49,2,2995
741,F,83,80-89,0,1900
742,M,64,60-69,0,1
743,M,74,70-79,0,6000
744,F,39,30-39,0,5499
745,M,57,50-59,1,7000
746,F,34,30-39,1,82000
747,M,34,30-39,0,1971
748,M,28,20-29,0,2800
749,M,56,50-59,1,7580
750,F,32,30-39,1,2400
751,M,75,70-79,1,5500
752,M,46,40-49,4,16600
753,F,37,30-39,2,2550
754,M,63,60-69,0,8500
755,M,29,20-29,0,4300
756,F,74,70-79,0,5598
757,M,36,30-39,1,10000
758,F,70,70-79,0,7000
759,F,68,60-69,0,6853
760,M,63,60-69,0,3200
761,F,44,40-49,0,3416
762,M,24,20-29,2,3600
763,M,52,50-59,1,3200
764,F,54,50-59,0,7580
765,M,59,50-59,0,3700
766,F,84,80-89,0,1450
767,M,53,50-59,0,9100
768,M,78,70-79,0,16000
769,M,33,30-39,0,6250
770,F,40,40-49,0,7489
771,M,22,20-29,0,1000
772,M,62,60-69,2,8333
773,F,52,50-59,2,7700
774,M,68,60-69,0,7492
775,M,46,40-49,2,10000
776,F,55,50-59,0,12159
777,M,47,40-49,0,7489
778,F,38,30-39,3,18561
779,F,46,40-49,0,3583
780,M,33,30-39,2,7167
781,F,56,50-59,0,2505
782,M,45,40-49,3,5400
783,M,36,30-39,0,5900
784,F,37,30-39,3,2860
785,M,23,20-29,2,2905
786,F,40,40-49,0,7489
787,M,66,60-69,0,7492
788,M,71,70-79,0,5191
789,M,55,50-59,0,7580
790,F,47,40-49,0,7489
791,M,34,30-39,0,7953
792,M,75,70-79,0,3048
793,F,27,20-29,0,2905
794,M,62,60-69,0,7000
795,M,66,60-69,0,3416
796,F,22,20-29,0,929
797,M,63,60-69,0,6833
798,F,65,60-69,0,13916
799,F,58,50-59,0,7090
800,M,41,40-49,0,5850
801,F,24,20-29,0,2800
802,M,39,30-39,0,5499
803,M,66,60-69,3,7600
804,F,69,60-69,1,3400
805,M,53,50-59,0,3354
806,F,61,60-69,0,5000
807,M,53,50-59,2,11000
808,M,29,20-29,0,6250
809,M,34,30-39,0,5499
810,F,46,40-49,0,6108
811,M,51,50-59,2,3766
812,M,39,30-39,0,3821
813,F,63,60-69,0,2750
814,M,53,50-59,0,1070
815,M,75,70-79,2,13566
816,F,60,60-69,0,7492
817,M,42,40-49,0,6612
818,F,50,50-59,0,7580
819,F,69,60-69,0,7492
820,M,39,30-39,2,8083
821,F,47,40-49,1,3500
822,M,59,50-59,1,7580
823,M,35,30-39,0,5499
824,F,32,30-39,0,13200
825,M,37,30-39,3,500
826,F,53,50-59,0,7580
827,M,35,30-39,0,3500
828,M,46,40-49,3,10000
829,M,71,70-79,0,4500
830,F,63,60-69,0,3416
831,M,58,50-59,2,10829
832,M,44,40-49,0,12308
833,F,37,30-39,0,7000
834,M,51,50-59,3,3333
835,M,33,30-39,0,5499
836,F,67,60-69,0,14200
837,M,33,30-39,0,5500
838,F,45,40-49,1,8166
839,F,54,50-59,0,6800
840,M,81,80-89,0,5067
841,F,41,40-49,1,6833
842,M,62,60-69,0,4800
843,M,57,50-59,1,14858
844,F,78,70-79,0,7650
845,M,58,50-59,0,7580
846,F,39,30-39,1,5499
847,M,35,30-39,2,5242
848,M,57,50-59,0,5930
849,M,64,60-69,0,5000
850,F,46,40-49,3,5085
851,M,49,40-49,0,3520
852,M,35,30-39,0,3666
853,F,29,20-29,3,2905
854,M,57,50-59,1,7750
855,M,59,50-59,1,7900
856,F,48,40-49,2,4666
857,M,62,60-69,0,7492
858,F,63,60-69,0,7800
859,F,53,50-59,1,2250
860,M,73,70-79,0,3800
861,F,34,30-39,0,20000
862,M,63,60-69,0,7492
863,M,53,50-59,0,2600
864,F,41,40-49,1,7200
865,M,21,20-29,0,867
866,F,51,50-59,2,6750
867,M,58,50-59,0,11956
868,M,30,30-39,0,2458
869,M,67,60-69,0,0
870,F,49,40-49,0,16765
871,M,38,30-39,5,4686
872,M,49,40-49,2,3768
873,F,43,40-49,3,10000
874,M,24,20-29,0,2905
875,M,74,70-79,0,5598
876,F,52,50-59,2,11666
877,M,45,40-49,1,10600
878,F,48,40-49,0,3450
879,F,23,20-29,0,0
880,M,68,60-69,0,10200
881,F,71,70-79,0,5167
882,M,61,60-69,0,1100
883,M,52,50-59,1,2300
884,F,45,40-49,1,1700
885,M,67,60-69,0,4939
886,F,81,80-89,0,2500
887,M,51,50-59,2,5666
888,M,47,40-49,1,1
889,M,39,30-39,0,5499
890,F,47,40-49,1,4807
891,M,57,50-59,1,6666
892,M,42,40-49,2,9333
893,F,38,30-39,3,11000
894,M,40,40-49,2,7500
895,M,38,30-39,0,5000
896,F,43,40-49,1,2500
897,M,44,40-49,0,5210
898,F,36,30-39,0,8000
899,F,47,40-49,1,7489
900,M,67,60-69,0,800
901,F,31,30-39,2,7878
902,M,48,40-49,0,5200
903,M,50,50-59,2,2800
904,F,67,60-69,0,4666
905,M,33,30-39,1,5499
906,F,41,40-49,2,6125
907,M,71,70-79,0,4987
908,M,52,50-59,0,4534
909,M,35,30-39,2,5499
910,F,49,40-49,0,5845
911,M,78,70-79,0,4000
912,M,45,40-49,2,4800
913,F,44,40-49,3,10875
914,M,43,40-49,1,7489
915,M,80,80-89,1,5100
916,F,66,60-69,0,6666
917,M,40,40-49,1,9166
918,F,60,60-69,0,8333
919,F,56,50-59,2,7580
920,M,36,30-39,0,5499
921,F,88,80-89,0,5067
922,M,54,50-59,2,12066
923,M,56,50-59,1,3797
924,F,90,90+,0,3473
925,M,43,40-49,3,2083
926,F,38,30-39,1,6080
927,M,72,70-79,0,7200
928,M,64,60-69,0,8188
929,M,79,70-79,0,4851
930,F,38,30-39,0,2650
931,M,52,50-59,2,2331
